frame,t,nx,ny,nz,agree_deg
300,577462.597544,0.33397,-0.8085,-0.48455,3.41
301,577462.60108,0.32833,-0.81087,-0.48444,3.86
302,577462.606297,0.32918,-0.80937,-0.48637,3.69
303,577462.610114,0.3238,-0.8148,-0.48088,3.42
304,577462.618435,0.31974,-0.81478,-0.48362,3.41
305,577462.621247,0.31744,-0.81583,-0.48339,3.23
306,577462.625589,0.3077,-0.82087,-0.48113,3.3
307,577462.630277,0.30828,-0.82024,-0.48185,3.18
308,577462.634213,0.31152,-0.83026,-0.46219,4.24
309,577462.64203,0.32362,-0.84164,-0.43234,3.62
310,577462.646267,0.33088,-0.85028,-0.40932,3.39
311,577462.657813,0.32711,-0.8613,-0.3888,2.76
312,577462.666147,0.30919,-0.86441,-0.39647,2.72
313,577462.66939,0.30119,-0.86423,-0.40299,2.38
314,577462.674333,0.29172,-0.86112,-0.41639,2.29
315,577462.676684,0.28223,-0.85586,-0.43342,2.66
316,577462.682167,0.2725,-0.85563,-0.44005,2.96
317,577462.685427,0.26514,-0.85408,-0.44749,2.93
318,577462.693686,0.26929,-0.84772,-0.45701,3.27
319,577462.697394,0.27133,-0.84924,-0.45297,3.61
320,577462.700978,0.27408,-0.83855,-0.47087,5.99
321,577462.706365,0.3023,-0.8391,-0.45224,4.12
322,577462.709667,0.30808,-0.83346,-0.45872,6.85
323,577462.71798,0.3348,-0.8311,-0.44404,6.42
324,577462.722543,0.36364,-0.83105,-0.42087,4.68
325,577462.724847,0.38477,-0.82654,-0.41084,4.69
326,577462.729757,0.39325,-0.8178,-0.42019,5.52
327,577462.74625,0.41085,-0.8142,-0.41023,3.81
328,577462.749408,0.40504,-0.81502,-0.41434,3.86
329,577462.753504,0.3997,-0.81468,-0.42016,4.27
330,577462.758157,0.38966,-0.81139,-0.43567,5.74
331,577462.762239,0.38803,-0.81702,-0.42651,3.83
332,577462.770619,0.385,-0.8121,-0.43849,5.19
333,577462.773909,0.37728,-0.81803,-0.43415,5.04
334,577462.776937,0.38157,-0.81847,-0.42955,4.74
335,577462.781971,0.38722,-0.80524,-0.44905,4.98
336,577462.785336,0.38907,-0.79373,-0.46756,5.24
337,577462.79408,0.38799,-0.78757,-0.47875,4.65
338,577462.797882,0.38904,-0.78134,-0.48801,4.54
339,577462.801266,0.39144,-0.78109,-0.48648,5.27
340,577462.805917,0.38945,-0.78126,-0.48782,5.23
341,577462.809106,0.38679,-0.78568,-0.48279,5.54
342,577462.813235,0.38255,-0.78923,-0.48039,5.44
343,577462.829498,0.34761,-0.81249,-0.46801,5.56
344,577462.833255,0.32656,-0.82519,-0.46088,5.43
345,577462.837332,0.308,-0.83792,-0.45059,4.2
346,577462.845995,0.27004,-0.84545,-0.46076,3.07
347,577462.849986,0.25917,-0.84704,-0.46406,5.23
348,577462.853155,0.21516,-0.86373,-0.45572,2.14
349,577462.857875,0.20425,-0.85779,-0.47167,2.92
350,577462.861791,0.19209,-0.86487,-0.46379,4.26
351,577462.869627,0.17131,-0.8709,-0.46063,3.18
352,577462.873621,0.17147,-0.87105,-0.46029,4.13
353,577462.876923,0.15518,-0.87141,-0.46537,4.42
354,577462.881538,0.16476,-0.87293,-0.45919,4.09
355,577462.885676,0.16583,-0.87146,-0.46158,5.51
356,577462.889542,0.1761,-0.86825,-0.46382,4.28
357,577462.897232,0.18017,-0.86594,-0.46656,4.96
358,577462.901394,0.19679,-0.86162,-0.46786,5.67
359,577462.905096,0.20959,-0.85941,-0.46636,3.92
360,577462.914322,0.22513,-0.80853,-0.54369,1.83
361,577462.922359,0.21538,-0.79051,-0.57332,3.55
362,577462.926071,0.24121,-0.76864,-0.59246,5.03
363,577462.929447,0.2518,-0.76417,-0.59383,5.43
364,577462.937437,0.26918,-0.75997,-0.5916,5.44
365,577462.945617,0.28302,-0.76324,-0.58083,6.21
366,577462.949941,0.29241,-0.77,-0.56709,6.35
367,577462.953419,0.2985,-0.78072,-0.54898,5.65
368,577462.957979,0.30338,-0.78355,-0.54222,5.31
369,577462.961592,0.2967,-0.79554,-0.52829,4.84
