# generated, 2026-09-04T03:25:53+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
61,431177.589044,431177.589044,6.9266,-2.7124,134.7559,43.5668,-13.4817,77.9686,0.670209,-0.160676,-0.724571,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.950,1.4619,42.2259,4.3948,1.0000,,,3.7036,4.8510,8.5546
62,431177.616727,431177.616727,7.0115,-2.6431,134.6741,43.5367,-13.5991,77.9686,0.669507,-0.161960,-0.724934,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.086,1.4619,42.2259,4.5323,0.9722,,,3.1413,4.8832,8.0245
63,431177.653254,431177.653254,6.9854,-2.4555,134.6532,43.3620,-12.6033,77.9686,0.670061,-0.149817,-0.727030,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.707,1.4619,42.2259,4.6571,0.8889,,,3.0121,3.3588,6.3710
64,431177.677223,431177.677223,7.0081,-2.6603,134.6782,43.6424,-13.0219,77.9686,0.672407,-0.155509,-0.723661,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.402,1.4619,42.2259,4.4689,0.9778,,,3.0674,4.0456,7.1130
65,431177.710623,431177.710623,7.0049,-2.5902,134.6662,43.6382,-13.9919,77.9686,0.669627,-0.166856,-0.723712,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.669,1.4619,42.2259,4.4442,0.9333,,,3.1867,4.2117,7.3984
66,431177.737934,431177.737934,6.9409,-2.6421,134.6689,43.5622,-13.0526,77.9686,0.671336,-0.155639,-0.724627,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.652,1.4619,42.2259,4.3609,0.9667,,,3.3780,4.5265,7.9045
67,431177.765942,431177.765942,6.9627,-2.6572,134.7120,43.5125,-13.2615,77.9686,0.670152,-0.157942,-0.725224,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.152,1.4619,42.2259,4.4095,0.9722,,,2.8737,4.0701,6.9438
68,431177.797665,431177.797665,6.9098,-2.8166,134.7771,43.6454,-14.7345,77.9686,0.667496,-0.175544,-0.723625,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.024,1.4619,42.2259,4.6944,1.0000,,,3.1419,4.8708,8.0127
69,431177.827266,431177.827266,6.9919,-2.5766,134.6532,43.5925,-13.3872,77.9686,0.670789,-0.159646,-0.724262,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.931,1.4619,42.2259,4.4572,0.9278,,,3.1710,4.1039,7.2749
70,431177.848469,431177.848469,6.9215,-2.5070,134.6965,43.1169,-11.6120,77.9686,0.669500,-0.137575,-0.729961,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.308,1.4619,42.2259,4.5138,0.9000,,,3.0237,3.2900,6.3136
71,431177.881198,431177.881198,6.9460,-2.5791,134.6542,43.6845,-13.7509,77.9686,0.670890,-0.164177,-0.723154,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.575,1.4619,42.2259,4.4685,0.9278,,,3.2945,4.1482,7.4427
72,431177.910088,431177.910088,6.8438,-2.5574,134.5729,43.3377,-10.2756,77.9686,0.675290,-0.122424,-0.727321,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.417,1.4619,42.2259,4.7752,0.9167,,,3.2525,3.4660,6.7185
73,431177.936641,431177.936641,7.0744,-2.6430,134.7978,42.8125,-14.4453,77.9686,0.658117,-0.169530,-0.733581,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.895,1.4619,42.2259,4.4677,0.9500,,,3.2182,4.1030,7.3212
74,431177.964853,431177.964853,6.9209,-2.6908,134.7004,43.6751,-12.7736,77.9686,0.673478,-0.152684,-0.723267,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.434,1.4619,42.2259,4.4015,1.0000,,,3.2238,3.7189,6.9427
75,431177.990776,431177.990776,6.9493,-2.6751,134.6930,43.6483,-13.5764,77.9686,0.670944,-0.162026,-0.723590,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.555,1.4619,42.2259,4.4467,0.9833,,,3.3282,4.2639,7.5921
76,431178.012627,431178.012627,6.7646,-2.5991,134.7140,42.9099,-10.1353,77.9686,0.670223,-0.119811,-0.732425,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.472,1.4619,42.2259,4.6794,0.9556,,,3.2428,3.6754,6.9182
77,431178.044777,431178.044777,6.9510,-2.7754,134.7225,43.6629,-13.7212,77.9686,0.670710,-0.163764,-0.723415,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.571,1.4619,42.2259,4.4493,1.0000,,,3.2425,4.0180,7.2604
78,431178.073779,431178.073779,6.9034,-2.5075,134.4997,45.1095,-13.4178,77.9686,0.689119,-0.164397,-0.705754,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.462,1.4619,42.2259,4.7496,0.9056,,,3.1279,3.0103,6.1382
79,431178.101564,431178.101564,6.9414,-2.5855,134.6579,43.4811,-12.2733,77.9686,0.672389,-0.146276,-0.725601,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.814,1.4619,42.2259,4.4699,0.9222,,,3.2073,3.2787,6.4860
80,431178.130979,431178.130979,6.9300,-2.7507,134.7255,43.6380,-14.0615,77.9686,0.669422,-0.167669,-0.723714,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.242,1.4619,42.2259,4.3949,1.0000,,,3.0142,4.8011,7.8153
81,431178.156362,431178.156362,6.9572,-2.6687,134.7229,43.5811,-13.8739,77.9686,0.669269,-0.165304,-0.724399,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.141,1.4619,42.2259,4.4680,0.9833,,,3.5684,4.3300,7.8984
82,431178.180558,431178.180558,6.9953,-2.6188,134.6665,43.5256,-12.9073,77.9686,0.671277,-0.153833,-0.725067,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.668,1.4619,42.2259,4.4940,0.9389,,,3.1685,4.1011,7.2696
