d,tilt_deg,f,amp,pitch,model,phase_err_deg,z_eq,k_z,G_n,C_grad,C_grad_fixed_m,C_tilt,C_net,k_z_fixed_m,trace_resid,trace_resid_fixed_m,B_mean,lock,ellipticity,kappa_t,Omega_align,lambda_grad,R,max_re_root,clearance,stage,axis,factor
0.034,2.0,95.0,1.25,0.021,dipole,0.0,0.0132069419632678,-0.1987095552719538,-10.040675425714126,0.0993725773132025,0.099372576903756,-0.0061393934897916,0.0932331838234108,-0.1987451751554573,3.559935445116014e-05,-2.1347945328153983e-08,0.0057713005201537,0.1293914425050583,1.0,1.0374486914809753e-05,5.176111883782276,34.483983625273986,0.1501019122392983,34.3615316502614,0.0014807534353052,A,,
0.034,2.0,100.0,1.25,0.021,dipole,0.0,0.0135449964704004,-0.190076582808288,-6.850409541172739,0.0950484451160589,0.0950484446599453,-0.0046412169146091,0.0904072282014498,-0.1900969207217702,2.0307423829940552e-05,-3.1401879513337505e-08,0.0057877750494526,0.1429619258602527,1.0,1.0384529127624792e-05,4.9220661043813365,33.72536523663718,0.1459455240838816,33.6088255430583,0.0018188079424378,A,,
0.034,2.0,105.0,1.25,0.021,dipole,0.0,0.0139185464516988,-0.1804317347763686,-3.507714163995153,0.0902190895484917,0.0902190890504229,-0.0026201015557391,0.0875989879927525,-0.1804382196266156,6.444320614779064e-06,-4.152576982274781e-08,0.005798949654169,0.1573117973666451,1.0,1.0381669790911064e-05,4.68639127051573,32.857413507304564,0.1426281246840654,32.748189434621956,0.0021923579237362,A,,
0.034,2.0,110.0,1.25,0.021,dipole,0.0,0.0143341012637717,-0.1696468523732858,1.7306193302480722e-05,0.0848234020041431,0.0848234014716135,1.4187381628245692e-08,0.0848234161915247,-0.1696468545034079,-4.8364999588601534e-08,-5.1560180902576747e-08,0.0058031344747829,0.1725260856946446,1.0,1.036239810009854e-05,4.465069477328127,31.85972307963116,0.1401477805117137,31.759880068847384,0.0026079127358092,A,,
0.034,2.0,115.0,1.25,0.021,dipole,0.0,0.0148007075549426,-0.1575609915409204,3.6920860338441455,0.0787856636079452,0.0787856630516826,0.0033081319493077,0.082093795557253,-0.1575713873984147,1.0335674970135544e-05,-6.129504953600319e-08,0.0057980812442469,0.1887310766601006,1.0,1.03220925950045e-05,4.2543238214192165,30.704904575086513,0.1385551878533148,30.6176425797615,0.00307451902698,A,,
0.034,2.0,120.0,1.25,0.021,dipole,0.0,0.0153314743824956,-0.1439632093278866,7.598096141072556,0.0720078376428126,0.0720078370773097,0.0074128055334833,0.079420643176296,-0.1440157446032136,5.246595773877871e-05,-7.044859423599449e-08,0.0057806580625471,0.2061186287669018,1.0,1.025437805395741e-05,4.0503141757473236,29.354456112158815,0.1379795340193564,29.285055907315893,0.003605285854533,A,,
0.034,2.0,125.0,1.25,0.021,dipole,0.0,0.0159465044137195,-0.1285607331785244,11.764757829346904,0.0643552361285681,0.0643552355727625,0.0124542720552117,0.0768095081837798,-0.1287105497732935,0.0001497390786118,-7.862776846279118e-08,0.0057462313779252,0.2249929706902992,1.0,1.0149904458282889e-05,3.8486868365691618,27.75083769387873,0.1386872309594496,27.708762672661788,0.0042203158857569,A,,
0.034,2.0,130.0,1.25,0.021,dipole,0.0,0.0166792371196055,-0.1109124576314547,16.270411746932663,0.0556264125212283,0.0556264119994907,0.0186294733889531,0.0742558859101815,-0.1112529092473499,0.000340367411002,-8.524836843382123e-08,0.0056873482749493,0.2458719094557179,1.0,9.993745964410167e-06,3.6437249520736783,25.800295456906465,0.1412280319874512,25.80456454311373,0.0049530485916429,A,,
0.034,4.0,60.0,1.25,0.021,dipole,0.0,0.0121802881964584,-0.2329833493116943,-29.486091201707367,0.1165176568822055,0.1165176567681813,-0.0071917575127562,0.1093258993694492,-0.2330352738417725,5.1964452716712906e-05,3.969459011488041e-08,0.0053949860563206,0.0552133638893572,1.0,9.765321917638389e-06,7.714289757140853,37.340491025556254,0.2065931525073172,37.195085292725445,-0.0002578023050262,A,,
0.034,4.0,65.0,1.25,0.021,dipole,0.0,0.0123621776556572,-0.2291027135328837,-27.192676831139835,0.1145816467140957,0.1145816465656337,-0.0077838418793492,0.1067978048347465,-0.2291632607545688,6.057989530786067e-05,3.2376698544389626e-08,0.0054228613589957,0.064465928940899,1.0,9.810325430401605e-06,7.153699460846163,37.02897436325048,0.1931919418201838,36.8856418785792,-7.591284582742289e-05,A,,
