Time,Channel A
(s),(V)

8.16000191,0.27835876
8.17333524,0.27835876
8.18666858,0.23191437
8.20000192,0.00000000
8.21333525,0.04629060
8.22666859,0.09273499
8.24000193,0.23191437
8.25333526,0.23191437
8.26666860,0.32464936
8.28000194,0.37109375
8.29333527,0.41753814
8.30666861,0.41753814
8.32000194,0.37109375
8.33333528,0.37109375
8.34666862,0.37109375
8.36000195,0.32464936
8.37333529,0.27835876
8.38666863,0.23191437
8.40000196,0.00000000
8.41333530,0.00000000
8.42666864,0.09273499
8.44000197,0.18546999
8.45333531,0.27835876
8.46666865,0.32464936
8.48000198,0.37109375
8.49333532,0.37109375
8.50666866,0.41753814
8.52000199,0.37109375
8.53333533,0.37109375
8.54666866,0.37109375
8.56000200,0.37109375
8.57333534,0.27835876
8.58666867,0.23191437
8.60000201,0.04629060
8.61333535,0.00000000
8.62666868,0.13917938
8.64000202,0.23191437
8.65333536,0.27835876
8.66666869,0.32464936
8.68000203,0.37109375
8.69333537,0.41753814
8.70666870,0.41753814
8.72000204,0.41753814
8.73333537,0.41753814
8.74666871,0.37109375
8.76000205,0.37109375
8.77333538,0.32464936
8.78666872,0.13917938
8.80000206,0.00000000
8.81333539,0.00000000
8.82666873,0.09273499
8.84000207,0.23191437
8.85333540,0.32464936
8.86666874,0.32464936
8.88000208,0.41753814
8.89333541,0.41753814
8.90666875,0.46382874
8.92000209,0.41753814
8.93333542,0.41753814
8.94666876,0.37109375
8.96000209,0.32464936
8.97333543,0.32464936
8.98666877,0.18546999
9.00000210,0.04629060
9.01333544,0.00000000
9.02666878,0.13917938
9.04000211,0.23191437
9.05333545,0.32464936
9.06666879,0.37109375
9.08000212,0.41753814
9.09333546,0.46382874
9.10666880,0.46382874
9.12000213,0.46382874
9.13333547,0.41753814
9.14666880,0.37109375
9.16000214,0.37109375
9.17333548,0.32464936
9.18666881,0.18546999
9.20000215,0.00000000
9.21333549,0.04629060
9.22666882,0.09273499
9.24000216,0.23191437
9.25333550,0.32464936
9.26666883,0.37109375
9.28000217,0.41753814
9.29333551,0.46382874
9.30666884,0.46382874
9.32000218,0.46382874
9.33333552,0.41753814
9.34666885,0.37109375
9.36000219,0.32464936
9.37333552,0.32464936
9.38666886,0.23191437
9.40000220,0.00000000
9.41333553,0.04629060
9.42666887,0.09273499
9.44000221,0.23191437
9.45333554,0.32464936
9.46666888,0.37109375
9.48000222,0.41753814
9.49333555,0.46382874
9.50666889,0.46382874
9.52000223,0.46382874
9.53333556,0.46382874
9.54666890,0.41753814
9.56000223,0.37109375
9.57333557,0.32464936
9.58666891,0.23191437
9.60000224,0.00000000
9.61333558,0.00000000
9.62666892,0.13917938
9.64000225,0.23191437
9.65333559,0.32464936
9.66666893,0.37109375
9.68000226,0.41753814
9.69333560,0.51027310
9.70666894,0.46382874
9.72000227,0.51027310
9.73333561,0.46382874
9.74666895,0.41753814
9.76000228,0.37109375
9.77333562,0.32464936
9.78666895,0.23191437
9.80000229,0.04629060
9.81333563,0.04629060
9.82666896,0.09273499
9.84000230,0.23191437
9.85333564,0.32464936
9.86666897,0.41753814
9.88000231,0.46382874
9.89333565,0.46382874
9.90666898,0.51027310
9.92000232,0.51027310
9.93333566,0.46382874
9.94666899,0.41753814
9.96000233,0.37109375
9.97333566,0.37109375
9.98666900,0.23191437
10.00000234,0.04629060
10.01333567,0.00000000
10.02666901,0.09273499
10.04000235,0.23191437
10.05333568,0.32464936
10.06666902,0.41753814
10.08000236,0.46382874
10.09333569,0.51027310
10.10666903,0.51027310
10.12000237,0.51027310
10.13333570,0.46382874
10.14666904,0.46382874
10.16000238,0.41753814
10.17333571,0.37109375
10.18666905,0.27835876
10.20000238,0.04629060
10.21333572,0.00000000
10.22666906,0.09273499
10.24000239,0.23191437
10.25333573,0.32464936
10.26666907,0.41753814
10.28000240,0.46382874
10.29333574,0.51027310
10.30666908,0.51027310
10.32000241,0.51027310
10.33333575,0.51027310
10.34666909,0.46382874
10.36000242,0.41753814
10.37333576,0.37109375
10.38666909,0.27835876
10.40000243,0.04629060
10.41333577,0.04629060
10.42666910,0.09273499
10.44000244,0.23191437
10.45333578,0.32464936
10.46666911,0.41753814
10.48000245,0.51027310
10.49333579,0.55671751
10.50666912,0.55671751
10.52000246,0.51027310
10.53333580,0.51027310
10.54666913,0.46382874
10.56000247,0.41753814
10.57333580,0.37109375
10.58666914,0.32464936
10.60000248,0.00000000
10.61333581,0.00000000
10.62666915,0.09273499
10.64000249,0.23191437
10.65333582,0.37109375
10.66666916,0.41753814
10.68000250,0.51027310
10.69333583,0.55671751
10.70666917,0.55671751
10.72000251,0.55671751
10.73333584,0.55671751
10.74666918,0.51027310
10.76000252,0.46382874
10.77333585,0.37109375
10.78666919,0.32464936
10.80000252,0.04629060
10.81333586,0.00000000
10.82666920,0.13917938
10.84000253,0.23191437
10.85333587,0.37109375
10.86666921,0.41753814
10.88000254,0.51027310
10.89333588,0.51027310
10.90666922,0.55671751
10.92000255,0.55671751
10.93333589,0.55671751
10.94666923,0.46382874
10.96000256,0.46382874
10.97333590,0.37109375
10.98666923,0.32464936
11.00000257,0.00000000
11.01333591,0.00000000
11.02666924,0.13917938
11.04000258,0.23191437
11.05333592,0.32464936
11.06666925,0.46382874
11.08000259,0.51027310
11.09333593,0.55671751
11.10666926,0.55671751
11.12000260,0.55671751
11.13333594,0.55671751
11.14666927,0.51027310
11.16000261,0.46382874
11.17333595,0.37109375
11.18666928,0.32464936
11.20000262,0.00000000
11.21333595,0.00000000
11.22666929,0.13917938
11.24000263,0.27835876
11.25333596,0.37109375
11.26666930,0.46382874
11.28000264,0.51027310
11.29333597,0.55671751
11.30666931,0.55671751
11.32000265,0.55671751
11.33333598,0.55671751
11.34666932,0.51027310
11.36000266,0.46382874
11.37333599,0.41753814
11.38666933,0.32464936
11.40000266,0.00000000
11.41333600,0.00000000
11.42666934,0.13917938
11.44000267,0.23191437
11.45333601,0.37109375
11.46666935,0.46382874
11.48000268,0.51027310
11.49333602,0.55671751
11.50666936,0.55671751
11.52000269,0.55671751
11.53333603,0.55671751
11.54666937,0.51027310
11.56000270,0.46382874
11.57333604,0.37109375
11.58666938,0.32464936
11.60000271,0.00000000
11.61333605,0.00000000
11.62666938,0.13917938
11.64000272,0.27835876
11.65333606,0.37109375
11.66666939,0.46382874
11.68000273,0.51027310
11.69333607,0.55671751
11.70666940,0.55671751
11.72000274,0.55671751
11.73333608,0.51027310
11.74666941,0.51027310
11.76000275,0.46382874
11.77333609,0.37109375
11.78666942,0.32464936
11.80000276,0.00000000
11.81333609,0.00000000
11.82666943,0.13917938
11.84000277,0.27835876
11.85333610,0.37109375
11.86666944,0.46382874
11.88000278,0.51027310
11.89333611,0.55671751
11.90666945,0.55671751
11.92000279,0.55671751
11.93333612,0.51027310
11.94666946,0.51027310
11.96000280,0.46382874
11.97333613,0.41753814
11.98666947,0.32464936
12.00000281,0.00000000
12.01333614,0.04629060
12.02666948,0.13917938
12.04000281,0.27835876
12.05333615,0.37109375
12.06666949,0.46382874
12.08000282,0.51027310
12.09333616,0.55671751
12.10666950,0.60316193
12.12000283,0.55671751
12.13333617,0.55671751
12.14666951,0.51027310
12.16000284,0.46382874
12.17333618,0.37109375
12.18666952,0.27835876
12.20000285,0.00000000
12.21333619,0.00000000
12.22666952,0.13917938
12.24000286,0.23191437
12.25333620,0.37109375
12.26666953,0.46382874
12.28000287,0.55671751
12.29333621,0.55671751
12.30666954,0.55671751
12.32000288,0.55671751
12.33333622,0.55671751
12.34666955,0.51027310
12.36000289,0.46382874
12.37333623,0.37109375
12.38666956,0.27835876
12.40000290,0.00000000
12.41333624,0.00000000
12.42666957,0.13917938
12.44000291,0.27835876
12.45333624,0.37109375
12.46666958,0.41753814
12.48000292,0.51027310
12.49333625,0.55671751
12.50666959,0.55671751
12.52000293,0.55671751
12.53333626,0.55671751
12.54666960,0.51027310
12.56000294,0.46382874
12.57333627,0.37109375
12.58666961,0.27835876
12.60000295,0.00000000
12.61333628,0.00000000
12.62666962,0.13917938
12.64000295,0.27835876
12.65333629,0.37109375
12.66666963,0.41753814
12.68000296,0.51027310
12.69333630,0.55671751
12.70666964,0.60316193
12.72000297,0.55671751
12.73333631,0.51027310
12.74666965,0.51027310
12.76000298,0.46382874
12.77333632,0.41753814
12.78666966,0.27835876
12.80000299,0.00000000
12.81333633,0.00000000
12.82666967,0.13917938
12.84000300,0.27835876
12.85333634,0.37109375
12.86666967,0.46382874
12.88000301,0.51027310
12.89333635,0.55671751
12.90666968,0.55671751
12.92000302,0.55671751
12.93333636,0.55671751
12.94666969,0.51027310
12.96000303,0.41753814
12.97333637,0.37109375
12.98666970,0.32464936
13.00000304,0.00000000
13.01333638,0.00000000
13.02666971,0.13917938
13.04000305,0.23191437
13.05333638,0.37109375
13.06666972,0.46382874
13.08000306,0.51027310
13.09333639,0.55671751
13.10666973,0.55671751
13.12000307,0.51027310
13.13333640,0.55671751
13.14666974,0.51027310
13.16000308,0.46382874
13.17333641,0.37109375
13.18666975,0.27835876
13.20000309,0.00000000
13.21333642,0.00000000
13.22666976,0.13917938
13.24000310,0.27835876
13.25333643,0.37109375
13.26666977,0.46382874
13.28000310,0.51027310
13.29333644,0.55671751
13.30666978,0.55671751
13.32000311,0.55671751
13.33333645,0.55671751
13.34666979,0.51027310
13.36000312,0.46382874
13.37333646,0.37109375
13.38666980,0.32464936
13.40000313,0.00000000
13.41333647,0.00000000
13.42666981,0.13917938
13.44000314,0.27835876
13.45333648,0.37109375
13.46666981,0.46382874
13.48000315,0.51027310
13.49333649,0.55671751
13.50666982,0.55671751
13.52000316,0.55671751
13.53333650,0.55671751
13.54666983,0.51027310
13.56000317,0.46382874
13.57333651,0.37109375
13.58666984,0.32464936
13.60000318,0.00000000
13.61333652,0.00000000
13.62666985,0.18546999
13.64000319,0.27835876
