# generated, 2026-08-15T22:04:08+00:00
# source, camera:0
# radius_mm, 10.2446
# axial, True
# fps_measured, 120.3796171216232
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
52,664711.245185,664711.245185,1.0825,3.5698,21.6225,52.5550,105.8535,12.4867,-0.216887,0.763739,-0.607999,-0.5952,-0.1191,-4.3796,628.283,455.491,1447.093,762.295,12.487,519302.0,40.5703,110.083,2,0.352,8.3210,0.7674,9.0884
53,664711.253859,664711.253859,1.1220,3.5805,21.7744,51.5084,105.1093,11.6517,-0.204020,0.755642,-0.622399,0.1940,0.1992,0.4265,627.349,453.947,1431.934,776.149,11.652,519641.0,40.8573,108.037,2,1.200,8.0708,0.4760,8.5468
54,664711.262493,664711.262493,1.1489,3.4950,22.0672,50.7564,103.8591,10.4459,-0.185511,0.751917,-0.632618,1.1459,-1.6169,11.9871,622.715,446.010,1407.229,782.300,10.446,519500.0,41.4209,106.249,2,1.230,6.1366,0.4009,6.5375
55,664711.270602,664711.270602,1.9159,3.7234,23.3029,44.4372,112.9797,16.2395,-0.273333,0.644567,-0.714018,18.4425,2.9047,52.0899,684.199,465.846,1313.651,858.392,16.239,518889.0,32.1595,92.070,2,9.224,5.9520,0.9484,6.9003
56,664711.278097,664711.278097,1.1232,3.4733,22.0363,51.3812,104.3463,10.9941,-0.193596,0.756951,-0.624135,6.5098,-0.8285,16.2366,622.656,445.719,1411.397,773.029,10.994,519421.0,43.7148,107.388,2,9.437,14.9463,0.5485,15.4948
57,664711.287914,664711.287914,1.1588,3.4964,22.0870,50.6667,103.9166,10.4723,-0.186027,0.750768,-0.633830,-0.6298,-2.1294,-3.0371,623.400,446.055,1405.573,783.384,10.472,519423.0,41.3999,106.053,2,0.789,16.9134,0.5261,17.4395
58,664711.312105,664711.312105,1.1479,3.4989,22.0671,50.7297,103.9060,10.4863,-0.186055,0.751479,-0.632979,-5.4073,-1.1414,-9.8788,622.769,446.284,1407.171,782.687,10.486,519216.0,41.3076,106.206,2,0.064,19.0216,0.5065,19.5281
59,664711.335188,664711.335188,1.1601,3.4982,22.0932,50.5765,103.8954,10.4415,-0.185510,0.749867,-0.635047,-1.6684,-0.1075,0.3316,623.356,446.046,1404.848,784.764,10.441,519300.0,41.4716,105.877,2,0.153,11.9501,0.5379,12.4880
60,664711.344582,664711.344582,1.0959,3.5515,21.7383,52.1953,105.6099,12.2211,-0.212606,0.760963,-0.612972,-2.5959,1.5775,-13.1852,627.345,453.400,1436.872,765.906,12.221,512596.0,42.7228,109.273,2,2.101,9.2312,1.1637,10.3949
61,664711.359915,664711.359915,1.1323,3.4917,22.0367,50.8443,103.6906,10.3303,-0.183529,0.753401,-0.631430,-0.5881,-0.3936,4.1175,621.304,445.717,1409.603,781.514,10.330,519024.0,41.6353,106.451,2,2.020,13.4098,1.3443,14.7541
62,664711.373536,664711.373536,1.1382,3.4936,22.0468,50.8106,103.7231,10.3465,-0.183868,0.752936,-0.631886,0.3609,-0.7055,5.5660,621.736,445.848,1408.798,781.789,10.346,518550.0,41.5911,106.382,2,0.042,13.1551,1.0237,14.1788
