index,t_capture,skew_s,t_a,t_b
39623,585384.565827,0.000544,585384.565555,585384.566099
39624,585384.568479,0.000689,585384.568824,585384.568135
39625,585384.573990,0.001136,585384.573422,585384.574558
39626,585384.581318,0.005632,585384.584134,585384.578502
39627,585384.620881,0.000477,585384.620642,585384.621119
39628,585384.631195,0.000611,585384.630890,585384.631501
39629,585384.639367,0.013159,585384.632788,585384.645946
39630,585384.646797,0.001037,585384.646279,585384.647316
39631,585384.647682,0.001154,585384.647105,585384.648259
39632,585384.649089,0.001314,585384.648432,585384.649747
39633,585384.650601,0.001694,585384.649754,585384.651449
39634,585384.653455,0.001383,585384.652763,585384.654147
39635,585384.658742,0.000827,585384.658329,585384.659156
39636,585384.663843,0.000724,585384.664205,585384.663481
39637,585384.667863,0.000896,585384.668311,585384.667416
39638,585384.671973,0.000969,585384.671488,585384.672457
39639,585384.676828,0.000650,585384.676503,585384.677153
39640,585384.682307,0.000642,585384.681986,585384.682628
39641,585384.690132,0.001814,585384.689225,585384.691039
39642,585384.695353,0.001841,585384.694433,585384.696274
39643,585384.698963,0.000219,585384.698853,585384.699073
39644,585384.703603,0.001710,585384.702748,585384.704458
39645,585384.706620,0.000652,585384.706946,585384.706294
39646,585384.713040,0.000595,585384.712743,585384.713338
39647,585384.718485,0.000187,585384.718578,585384.718391
39648,585384.721936,0.001266,585384.722569,585384.721302
39649,585384.726876,0.000215,585384.726768,585384.726983
39650,585384.729586,0.000219,585384.729696,585384.729477
39651,585384.734097,0.003697,585384.732249,585384.735945
39652,585384.739722,0.000941,585384.740192,585384.739251
39653,585384.744192,0.000706,585384.744545,585384.743839
39654,585384.750588,0.000227,585384.750701,585384.750474
39655,585384.754244,0.000087,585384.754288,585384.754201
39656,585384.760393,0.003471,585384.758658,585384.762129
39657,585384.767666,0.000307,585384.767513,585384.767820
39658,585384.770748,0.000216,585384.770641,585384.770856
39659,585384.771327,0.000504,585384.771075,585384.771579
39660,585384.775691,0.000816,585384.776099,585384.775283
39661,585384.779784,0.000929,585384.779319,585384.780249
39662,585384.786176,0.003671,585384.784341,585384.788011
39663,585384.791878,0.000947,585384.792351,585384.791404
39664,585384.795956,0.000936,585384.795489,585384.796424
39665,585384.800181,0.001063,585384.799650,585384.800712
39666,585384.804699,0.000594,585384.804402,585384.804996
39667,585384.811547,0.002982,585384.810056,585384.813038
39668,585384.819371,0.001839,585384.818451,585384.820291
39669,585384.822710,0.000565,585384.822428,585384.822992
39670,585384.829233,0.000269,585384.829368,585384.829099
39671,585384.830513,0.000318,585384.830354,585384.830672
39672,585384.835883,0.008886,585384.831440,585384.840326
39673,585384.841930,0.004947,585384.839456,585384.844404
39674,585384.845573,0.004124,585384.843511,585384.847635
39675,585384.850711,0.003803,585384.848809,585384.852612
39676,585384.853738,0.004069,585384.851703,585384.855772
39677,585384.861147,0.008851,585384.856721,585384.865572
39678,585384.865413,0.009205,585384.860811,585384.870016
39679,585384.872977,0.004245,585384.870854,585384.875099
39680,585384.876590,0.000619,585384.876280,585384.876900
39681,585384.877996,0.001741,585384.877125,585384.878866
39682,585384.884299,0.008154,585384.880223,585384.888376
39683,585384.888552,0.009549,585384.883778,585384.893327
39684,585384.895398,0.005967,585384.892415,585384.898382
39685,585384.900989,0.004755,585384.898612,585384.903367
39686,585384.904280,0.000312,585384.904124,585384.904436
39687,585384.906858,0.002957,585384.905379,585384.908336
39688,585384.911590,0.008116,585384.907532,585384.915648
39689,585384.917515,0.004956,585384.915037,585384.919993
39690,585384.921676,0.005278,585384.919037,585384.924315
39691,585384.926229,0.005674,585384.923392,585384.929066
39692,585384.931897,0.007146,585384.928323,585384.935470
39693,585384.941459,0.008559,585384.937180,585384.945739
39694,585384.943327,0.006445,585384.940104,585384.946549
39695,585384.947119,0.000199,585384.947020,585384.947219
39696,585384.949735,0.003334,585384.948068,585384.951402
39697,585384.953798,0.003059,585384.952268,585384.955327
39698,585384.960167,0.007911,585384.956212,585384.964123
39699,585384.964004,0.008342,585384.959834,585384.968175
39700,585384.970253,0.005956,585384.967275,585384.973231
39701,585384.977079,0.003135,585384.975512,585384.978647
39702,585384.979323,0.000360,585384.979143,585384.979503
39703,585384.986870,0.013228,585384.980256,585384.993484
39704,585384.993627,0.002816,585384.992218,585384.995035
39705,585384.995259,0.001491,585384.994514,585384.996005
39706,585384.999448,0.007760,585384.995568,585385.003327
39707,585385.003730,0.002128,585385.002666,585385.004794
39708,585385.006641,0.004215,585385.004533,585385.008748
39709,585385.011899,0.007679,585385.008059,585385.015738
39710,585385.016107,0.007881,585385.012166,585385.020047
39711,585385.023109,0.004742,585385.020738,585385.025480
39712,585385.026873,0.004206,585385.024770,585385.028976
39713,585385.030530,0.005002,585385.028029,585385.033031
39714,585385.035162,0.002822,585385.033751,585385.036573
39715,585385.041786,0.008753,585385.037409,585385.046163
39716,585385.047955,0.004728,585385.045591,585385.050319
39717,585385.052169,0.004132,585385.050103,585385.054236
39718,585385.055369,0.002690,585385.054024,585385.056714
39719,585385.058651,0.002509,585385.057396,585385.059906
39720,585385.065156,0.008606,585385.060853,585385.069459
39721,585385.070552,0.003525,585385.068790,585385.072315
39722,585385.075350,0.004121,585385.073290,585385.077411
39723,585385.078517,0.003476,585385.076778,585385.080255
39724,585385.083045,0.004362,585385.080864,585385.085225
39725,585385.090056,0.007944,585385.086084,585385.094028
39726,585385.093099,0.007226,585385.089486,585385.096712
39727,585385.099050,0.002706,585385.097697,585385.100404
39728,585385.103019,0.003410,585385.101314,585385.104724
39729,585385.106759,0.002662,585385.105428,585385.108091
39730,585385.110699,0.003610,585385.108894,585385.112504
39731,585385.117000,0.007749,585385.113126,585385.120874
39732,585385.123270,0.003383,585385.121578,585385.124961
39733,585385.127221,0.005752,585385.124346,585385.130097
39734,585385.132495,0.005910,585385.129540,585385.135450
39735,585385.136032,0.001989,585385.135038,585385.137027
39736,585385.141059,0.006136,585385.137991,585385.144127
39737,585385.145722,0.005079,585385.143183,585385.148262
39738,585385.149812,0.004939,585385.147343,585385.152282
39739,585385.153873,0.004972,585385.151387,585385.156359
39740,585385.158278,0.004918,585385.155819,585385.160737
39741,585385.164928,0.009956,585385.159950,585385.169906
39742,585385.169635,0.007771,585385.165750,585385.173521
39743,585385.176651,0.003232,585385.175034,585385.178267
39744,585385.181830,0.000324,585385.181668,585385.181992
39745,585385.183478,0.002249,585385.182353,585385.184602
39746,585385.186619,0.002588,585385.185325,585385.187913
39747,585385.193119,0.008925,585385.188656,585385.197582
39748,585385.199370,0.005471,585385.196634,585385.202106
39749,585385.203102,0.003284,585385.201460,585385.204744
39750,585385.207040,0.003269,585385.205405,585385.208674
39751,585385.210503,0.005023,585385.207991,585385.213014
39752,585385.216513,0.008512,585385.212257,585385.220769
39753,585385.223305,0.003620,585385.221495,585385.225115
39754,585385.226944,0.002239,585385.225825,585385.228064
39755,585385.230893,0.004309,585385.228738,585385.233047
39756,585385.234296,0.003941,585385.232325,585385.236267
39757,585385.241176,0.007990,585385.237181,585385.245171
39758,585385.246437,0.008916,585385.241979,585385.250895
39759,585385.253433,0.009288,585385.248789,585385.258078
39760,585385.257917,0.005852,585385.254991,585385.260843
39761,585385.261536,0.005453,585385.258809,585385.264262
39762,585385.265093,0.003447,585385.263370,585385.266817
39763,585385.268732,0.007021,585385.265222,585385.272243
39764,585385.274862,0.003933,585385.272895,585385.276829
39765,585385.280310,0.005809,585385.277405,585385.283214
39766,585385.284790,0.003406,585385.283087,585385.286493
39767,585385.287679,0.002721,585385.286318,585385.289039
