# skew_n, 3232
# skew_median_ms, 1.0082090157084167
# skew_p95_ms, 8.434141619363798
# skew_max_ms, 28.510916978120804
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
276,342572.418689,0.001086,342572.419232,342572.418146
277,342572.443657,0.000932,342572.443191,342572.444124
278,342572.466296,0.000801,342572.466697,342572.465895
279,342572.486329,0.007905,342572.482376,342572.490282
280,342572.507811,0.000990,342572.507316,342572.508306
281,342572.530100,0.000999,342572.529601,342572.530600
282,342572.550814,0.007422,342572.554524,342572.547103
283,342572.570947,0.001263,342572.570315,342572.571578
284,342572.592601,0.009968,342572.587617,342572.597585
285,342572.618698,0.001039,342572.619218,342572.618179
286,342572.635186,0.001155,342572.635763,342572.634608
287,342572.658738,0.001043,342572.658217,342572.659259
288,342572.681202,0.000950,342572.681677,342572.680727
289,342572.694564,0.009162,342572.689983,342572.699145
290,342572.724025,0.001021,342572.723515,342572.724536
291,342572.746628,0.000934,342572.746160,342572.747095
292,342572.762666,0.000669,342572.763001,342572.762332
293,342572.788407,0.000643,342572.788085,342572.788728
294,342572.807121,0.006569,342572.810406,342572.803837
295,342572.825043,0.009407,342572.820340,342572.829747
296,342572.847094,0.009236,342572.851712,342572.842476
297,342572.866868,0.000531,342572.867134,342572.866603
298,342572.889431,0.000979,342572.889920,342572.888941
299,342572.913533,0.000995,342572.914031,342572.913036
300,342572.926935,0.008553,342572.922659,342572.931211
301,342572.951925,0.008128,342572.947861,342572.955988
302,342572.974923,0.006328,342572.978087,342572.971759
303,342572.995124,0.000897,342572.995573,342572.994676
304,342573.018882,0.001220,342573.018272,342573.019492
305,342573.035649,0.001102,342573.035097,342573.036200
306,342573.061527,0.001128,342573.060963,342573.062091
307,342573.082106,0.000879,342573.081666,342573.082545
308,342573.103261,0.005965,342573.100279,342573.106244
309,342573.123991,0.000808,342573.123587,342573.124395
310,342573.146560,0.001069,342573.147094,342573.146025
311,342573.171183,0.000977,342573.171672,342573.170695
312,342573.186438,0.000974,342573.185951,342573.186925
313,342573.211450,0.000170,342573.211365,342573.211535
314,342573.235196,0.000648,342573.234872,342573.235520
315,342573.250843,0.001270,342573.251478,342573.250208
316,342573.271255,0.008419,342573.275464,342573.267045
317,342573.298662,0.001019,342573.298152,342573.299171
318,342573.314751,0.000905,342573.314299,342573.315203
319,342573.339076,0.000554,342573.339353,342573.338798
320,342573.362533,0.001378,342573.361844,342573.363221
321,342573.379328,0.000977,342573.379817,342573.378840
322,342573.403157,0.000703,342573.402806,342573.403509
323,342573.426683,0.000991,342573.426187,342573.427178
324,342573.446282,0.007141,342573.442712,342573.449852
325,342573.467116,0.000957,342573.467594,342573.466637
326,342573.490626,0.000996,342573.491125,342573.490128
327,342573.507955,0.000939,342573.508425,342573.507486
328,342573.532047,0.001029,342573.531533,342573.532561
329,342573.547258,0.001176,342573.547846,342573.546670
330,342573.574396,0.007242,342573.570775,342573.578017
331,342573.595775,0.000891,342573.596221,342573.595330
332,342573.618380,0.001020,342573.617870,342573.618890
333,342573.635862,0.001387,342573.635168,342573.636555
334,342573.664233,0.000548,342573.664507,342573.663958
335,342573.683250,0.001009,342573.682746,342573.683755
336,342573.705445,0.000982,342573.704954,342573.705936
337,342573.719840,0.009520,342573.724600,342573.715080
338,342573.746460,0.000951,342573.745984,342573.746935
339,342573.770510,0.001010,342573.771015,342573.770006
340,342573.786433,0.000975,342573.785946,342573.786921
341,342573.811014,0.000953,342573.811490,342573.810538
342,342573.834810,0.001066,342573.835343,342573.834277
343,342573.851091,0.001367,342573.851774,342573.850408
344,342573.874728,0.001049,342573.874204,342573.875253
345,342573.898587,0.001548,342573.899361,342573.897813
346,342573.917549,0.007183,342573.921141,342573.913958
347,342573.940549,0.000942,342573.940078,342573.941020
348,342573.963054,0.000633,342573.962737,342573.963370
349,342573.981942,0.006374,342573.978754,342573.985129
350,342574.002568,0.000534,342574.002834,342574.002301
351,342574.025858,0.000695,342574.026205,342574.025510
352,342574.042335,0.001355,342574.041657,342574.043012
353,342574.063836,0.007958,342574.059856,342574.067815
354,342574.088366,0.003842,342574.090287,342574.086445
355,342574.107831,0.000898,342574.107382,342574.108280
356,342574.130381,0.000761,342574.130761,342574.130001
357,342574.146805,0.001499,342574.147554,342574.146055
358,342574.171530,0.000893,342574.171083,342574.171976
359,342574.194736,0.001030,342574.194221,342574.195251
360,342574.215734,0.005950,342574.212759,342574.218709
361,342574.235193,0.001093,342574.235739,342574.234646
362,342574.258783,0.000876,342574.258345,342574.259221
363,342574.282996,0.001076,342574.283534,342574.282458
364,342574.295324,0.007780,342574.291434,342574.299214
365,342574.324146,0.000798,342574.324545,342574.323747
366,342574.346697,0.000950,342574.346222,342574.347171
367,342574.363331,0.000571,342574.363617,342574.363045
368,342574.388142,0.000619,342574.387832,342574.388451
