design,freq_hz,n,t_s,delta_med,delta_q25,delta_q75,env_med,env_q25,env_q75
design 1,10.0,22,4.14,0.4704,0.2335,0.794,3.1888,2.8395,3.414
design 1,10.0,22,4.16,0.4536,0.3033,0.8459,3.2059,2.8536,3.431
design 1,10.0,22,4.18,0.3501,0.2503,0.5291,3.2343,2.889,3.444
design 1,10.0,22,4.2,0.341,0.2318,0.4564,3.1888,2.8599,3.6036
design 1,10.0,22,4.22,0.3739,0.3086,0.464,3.1362,2.7695,3.4868
design 1,10.0,22,4.24,0.3679,0.2504,0.4334,3.0776,2.7199,3.5424
design 1,10.0,22,4.26,0.4286,0.231,0.5402,3.0974,2.7431,3.4745
design 1,10.0,22,4.28,0.3869,0.336,0.4989,3.078,2.7478,3.4025
design 1,10.0,22,4.3,0.3427,0.2293,0.4155,3.0097,2.7769,3.4496
design 1,10.0,22,4.32,0.3272,0.161,0.6063,3.0064,2.7804,3.608
design 1,10.0,22,4.34,0.3333,0.19,0.5149,3.0283,2.7137,3.5568
design 1,10.0,22,4.36,0.3521,0.2138,0.4987,3.0098,2.7857,3.6336
design 1,10.0,22,4.38,0.4163,0.2432,0.6649,2.9312,2.7226,3.7046
design 1,10.0,22,4.4,0.4908,0.4236,0.928,2.9958,2.8259,3.659
design 1,10.0,22,4.42,0.3587,0.2439,0.6402,2.9653,2.6559,3.4223
design 1,10.0,22,4.44,0.4683,0.2477,0.6388,3.005,2.763,3.5585
design 1,10.0,22,4.46,0.4401,0.2975,0.7933,2.9623,2.751,3.4689
design 1,10.0,22,4.48,0.5172,0.2799,0.7028,2.8323,2.7148,3.3921
design 1,10.0,22,4.5,0.391,0.1777,0.6539,2.8433,2.7088,3.4115
design 1,10.0,22,4.52,0.4131,0.278,0.5556,2.8368,2.642,3.4968
design 1,10.0,22,4.54,0.3361,0.1978,0.5664,2.9081,2.656,3.472
design 1,10.0,22,4.56,0.4857,0.2691,0.6186,2.9591,2.6742,3.537
design 1,10.0,22,4.58,0.4015,0.2579,0.5514,2.9745,2.6995,3.5524
design 1,10.0,22,4.6,0.3341,0.2614,0.5996,2.9565,2.744,3.5072
design 1,10.0,22,4.62,0.3841,0.255,0.5476,3.0033,2.7258,3.4802
design 1,10.0,22,4.64,0.2459,0.1727,0.5661,3.0706,2.7537,3.4484
design 1,10.0,22,4.66,0.3238,0.1958,0.5081,3.0737,2.7799,3.4459
design 1,10.0,22,4.68,0.356,0.2443,0.4101,3.0468,2.7494,3.4722
design 1,10.0,22,4.7,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.72,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.74,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.76,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.78,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.8,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.82,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.84,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.86,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.88,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.9,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.92,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.94,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.96,nan,nan,nan,nan,nan,nan
design 1,10.0,22,4.98,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.0,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.02,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.04,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.06,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.08,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.1,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.12,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.14,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.16,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.18,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.2,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.22,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.24,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.26,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.28,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.3,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.32,nan,nan,nan,nan,nan,nan
design 1,10.0,22,5.34,nan,nan,nan,nan,nan,nan
