frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg,longest_width_px
264,8.982882681564247,True,105.28,113.0,0.9969,0.0781,4.48,173.04
265,9.016908752327748,True,103.73,113.78,0.9985,0.0551,3.16,138.43
266,9.050934823091248,True,102.25,113.86,0.9985,0.055,3.15,133.35
267,9.084960893854749,True,101.41,113.72,0.9988,0.0492,2.82,132.66
268,9.11898696461825,True,101.01,112.82,0.9982,0.06,3.44,160.28
269,9.15301303538175,True,100.93,112.81,0.9982,0.0594,3.41,160.62
270,9.187039106145251,True,100.9,113.82,0.9988,0.0497,2.85,129.09
271,9.221065176908752,True,102.1,112.95,0.9986,0.0528,3.02,158.36
272,9.255091247672253,True,103.48,113.24,0.9989,0.0466,2.67,153.0
273,9.289117318435755,True,104.54,113.22,0.999,0.0437,2.5,153.25
274,9.323143389199256,True,106.14,113.36,0.9991,0.0435,2.49,156.04
275,9.357169459962757,True,107.28,114.24,0.9991,0.0431,2.47,132.47
276,9.391195530726257,True,108.73,114.27,0.9991,0.0419,2.4,133.55
277,9.425221601489758,True,109.22,114.04,0.999,0.0445,2.55,135.51
278,9.459247672253259,True,110.07,113.3,0.9992,0.0412,2.36,156.55
279,9.49327374301676,True,109.9,113.19,0.9991,0.0421,2.41,154.08
280,9.52729981378026,True,109.52,113.86,0.9991,0.0428,2.45,139.94
281,9.561325884543763,True,108.86,113.78,0.9992,0.0411,2.35,138.72
282,9.595351955307263,True,107.78,113.89,0.9991,0.0421,2.41,136.61
283,9.629378026070764,True,106.54,113.67,0.9992,0.0396,2.27,133.89
284,9.663404096834265,True,105.17,113.52,0.9991,0.0432,2.47,139.41
285,9.697430167597766,True,104.69,112.64,0.9991,0.0428,2.45,157.51
286,9.731456238361266,True,103.44,112.6,0.9991,0.0414,2.37,157.36
287,9.765482309124767,True,102.26,112.58,0.9991,0.042,2.41,158.93
288,9.799508379888268,True,101.47,113.23,0.9991,0.0422,2.42,141.3
289,9.833534450651769,True,101.39,112.55,0.9992,0.0408,2.34,156.32
290,9.867560521415271,True,101.34,112.55,0.9992,0.0404,2.31,157.85
291,9.901586592178772,True,101.5,113.26,0.9992,0.0397,2.27,140.23
292,9.935612662942273,True,102.13,112.57,0.9992,0.0403,2.31,157.22
293,9.969638733705773,True,103.12,112.71,0.9992,0.0398,2.28,155.19
294,10.003664804469274,True,103.4,112.6,0.9992,0.0402,2.3,155.88
295,10.037690875232775,True,104.99,113.38,0.9993,0.0387,2.22,141.56
296,10.071716945996275,True,106.08,113.55,0.9991,0.0414,2.37,137.7
297,10.105743016759776,True,106.86,113.52,0.9992,0.0402,2.31,139.49
298,10.139769087523277,True,107.41,113.63,0.9991,0.0435,2.49,139.96
299,10.17379515828678,True,107.63,113.62,0.999,0.0439,2.52,140.02
300,10.20782122905028,True,107.78,113.74,0.999,0.044,2.52,139.58
301,10.24184729981378,True,107.36,113.49,0.9991,0.0414,2.37,139.92
302,10.275873370577282,True,106.71,113.35,0.9991,0.0423,2.43,141.23
303,10.309899441340782,True,105.86,112.61,0.9991,0.0432,2.48,154.89
304,10.343925512104283,True,104.97,112.5,0.999,0.0452,2.59,156.36
305,10.377951582867784,True,103.87,112.45,0.9989,0.0467,2.68,154.85
306,10.411977653631284,True,103.12,112.45,0.9989,0.0477,2.74,158.02
307,10.446003724394787,True,102.35,112.44,0.9989,0.0477,2.73,158.2
308,10.480029795158288,True,101.77,113.35,0.9988,0.0488,2.8,141.01
309,10.514055865921788,True,101.36,113.24,0.9988,0.0498,2.86,141.07
310,10.54808193668529,True,101.52,113.26,0.9988,0.0491,2.81,140.46
311,10.58210800744879,True,102.1,112.48,0.9988,0.0481,2.75,156.53
312,10.61613407821229,True,102.63,113.35,0.999,0.045,2.58,137.73
313,10.650160148975791,True,103.36,113.39,0.9989,0.0473,2.71,140.97
314,10.684186219739292,True,104.38,113.39,0.999,0.0445,2.55,137.44
315,10.718212290502793,True,105.2,112.67,0.9989,0.046,2.63,156.55
316,10.752238361266295,True,106.16,112.7,0.9989,0.0462,2.65,156.71
317,10.786264432029796,True,107.57,113.57,0.9988,0.0486,2.78,141.68
318,10.820290502793297,True,108.13,112.88,0.9988,0.0486,2.79,153.58
319,10.854316573556797,True,108.28,113.48,0.9988,0.0491,2.82,140.67
320,10.888342644320298,True,108.21,113.41,0.9988,0.0495,2.84,140.42
321,10.922368715083799,True,108.25,113.4,0.9988,0.0496,2.84,141.42
322,10.9563947858473,True,107.95,113.64,0.9986,0.0527,3.02,137.55
323,10.9904208566108,True,107.71,113.49,0.9986,0.0526,3.01,143.45
324,11.024446927374301,True,107.0,113.63,0.9986,0.0537,3.08,137.69
325,11.058472998137804,True,106.02,113.49,0.9985,0.0555,3.18,142.45
326,11.092499068901304,True,104.99,113.34,0.9984,0.0567,3.25,142.35
327,11.126525139664805,True,104.16,113.45,0.9985,0.0555,3.18,138.71
328,11.160551210428306,True,103.58,113.3,0.9983,0.0589,3.38,142.8
329,11.194577281191807,True,102.46,112.6,0.9982,0.0605,3.47,152.15
330,11.228603351955307,True,101.86,113.37,0.9985,0.0556,3.19,138.36
331,11.262629422718808,True,101.69,112.57,0.9981,0.061,3.5,157.24
332,11.296655493482309,True,101.39,113.15,0.9986,0.0531,3.04,138.67
333,11.330681564245811,True,102.0,112.56,0.9984,0.0562,3.22,157.23
334,11.364707635009312,True,102.3,113.28,0.9986,0.0527,3.02,141.69
335,11.398733705772813,True,103.5,113.3,0.9987,0.0511,2.93,143.21
336,11.432759776536313,True,104.36,113.49,0.9988,0.0483,2.77,140.21
337,11.466785847299814,True,105.97,112.73,0.9987,0.0507,2.91,159.95
338,11.500811918063315,True,107.12,112.88,0.9989,0.046,2.64,157.68
339,11.534837988826816,True,107.79,113.8,0.999,0.0456,2.61,134.93
340,11.568864059590316,True,109.08,113.32,0.999,0.0442,2.53,141.97
341,11.602890130353817,True,110.07,112.85,0.999,0.0449,2.57,156.63
342,11.63691620111732,True,110.22,113.59,0.9989,0.0463,2.66,138.21
343,11.67094227188082,True,109.94,112.78,0.9989,0.0468,2.68,156.12
344,11.704968342644321,True,109.21,112.75,0.9988,0.048,2.75,156.09
345,11.738994413407822,True,108.18,112.71,0.9988,0.0491,2.82,155.75
346,11.773020484171322,True,106.81,113.46,0.9988,0.049,2.81,139.59
347,11.807046554934823,True,106.09,113.2,0.9988,0.0499,2.86,142.99
348,11.841072625698324,True,104.08,113.35,0.9986,0.0526,3.02,141.82
349,11.875098696461825,True,103.3,112.49,0.9985,0.0549,3.14,154.83
350,11.909124767225327,True,102.37,113.06,0.9986,0.0535,3.07,143.71
351,11.943150837988828,True,101.6,112.43,0.9985,0.0554,3.17,154.04
352,11.977176908752329,True,101.32,112.34,0.9978,0.0662,3.79,166.42
353,12.01120297951583,True,101.32,113.08,0.9986,0.0534,3.06,144.99
354,12.04522905027933,True,101.59,113.21,0.9985,0.0551,3.16,142.32
355,12.07925512104283,True,103.03,112.42,0.9976,0.0686,3.93,174.08
356,12.113281191806331,True,104.5,113.2,0.9987,0.0516,2.96,142.51
357,12.147307262569832,True,106.13,112.63,0.9986,0.0535,3.07,156.72
358,12.181333333333333,True,107.92,113.57,0.9986,0.0538,3.08,139.8
359,12.215359404096835,True,109.15,112.75,0.9985,0.055,3.15,154.91
360,12.249385474860336,True,110.25,113.32,0.9986,0.0533,3.05,143.43
