frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg_major,line_angle_deg_minor,longest_width_px,contour_area_px,final_combined_angle_deg,minor_len_px,top_ellipse_major_len_px,top_ellipse_minor_len_px,axis_x,axis_y,axis_z
128,4.35533705772812,True,263.74,404.47,0.9995,0.0306,1.75,85.12,135.21,2922.0,85.12,29.13,135.21,11.5,0.085,0.0026,0.9964
129,4.38936312849162,True,263.63,404.44,0.9995,0.0303,1.74,85.33,135.24,2925.0,85.33,29.08,135.24,11.01,0.0813,0.0025,0.9967
130,4.423389199255121,True,263.46,404.52,0.9995,0.0328,1.88,85.11,135.26,2912.0,85.11,29.2,135.26,11.52,0.0851,0.0028,0.9964
131,4.457415270018622,True,263.13,404.41,0.9994,0.0346,1.98,84.95,136.26,2940.0,84.95,29.08,136.26,11.99,0.0879,0.003,0.9961
132,4.491441340782123,True,263.47,404.47,0.9995,0.0327,1.88,84.82,135.26,2915.0,84.82,29.17,135.26,12.22,0.0903,0.003,0.9959
133,4.525467411545624,True,263.74,404.41,0.9995,0.0324,1.86,85.23,135.25,2922.0,85.23,29.01,135.25,11.24,0.0831,0.0027,0.9965
134,4.559493482309125,True,264.5,404.47,0.9995,0.0329,1.88,85.16,135.26,2929.0,85.16,29.16,135.26,11.42,0.0844,0.0028,0.9964
135,4.593519553072626,True,265.19,404.5,0.9995,0.0322,1.85,85.06,136.19,2951.0,85.06,29.24,136.19,11.72,0.086,0.0028,0.9963
136,4.627545623836126,True,266.3,404.45,0.9995,0.0304,1.74,84.91,136.21,2959.0,84.91,29.12,136.21,12.09,0.0887,0.0027,0.9961
137,4.661571694599628,True,267.54,404.59,0.9994,0.0333,1.91,85.16,135.29,2962.0,85.16,29.39,135.29,11.42,0.0843,0.0028,0.9964
138,4.695597765363129,True,268.3,404.38,0.9995,0.0331,1.9,85.01,136.26,2993.0,85.01,29.0,136.26,11.86,0.087,0.0029,0.9962
139,4.729623836126629,True,269.21,404.39,0.9994,0.0343,1.97,84.95,136.3,3018.0,84.95,29.03,136.3,12.0,0.088,0.003,0.9961
140,4.76364990689013,True,270.04,404.34,0.9994,0.035,2.0,85.0,136.3,3026.0,85.0,28.94,136.3,11.88,0.0871,0.003,0.9962
141,4.797675977653632,True,270.2,404.31,0.9993,0.0366,2.1,84.61,136.24,3059.0,84.61,28.88,136.24,12.8,0.0939,0.0034,0.9956
142,4.8317020484171325,True,270.42,404.26,0.9994,0.036,2.06,84.3,136.31,3065.0,84.3,30.76,136.31,13.53,0.0992,0.0036,0.9951
143,4.865728119180633,True,270.25,404.2,0.9992,0.0388,2.23,84.26,136.32,3079.0,84.26,30.58,136.32,13.64,0.1,0.0039,0.995
144,4.899754189944134,True,269.83,404.28,0.9991,0.0414,2.37,84.45,136.38,3084.0,84.45,30.79,136.38,13.18,0.0966,0.004,0.9953
145,4.9337802607076355,True,269.08,404.17,0.9991,0.0434,2.49,84.55,136.39,3092.0,84.55,30.56,136.39,12.96,0.0949,0.0041,0.9955
146,4.967806331471136,True,268.14,404.26,0.999,0.0449,2.57,84.34,136.4,3086.0,84.34,30.74,136.4,13.46,0.0986,0.0044,0.9951
147,5.001832402234637,True,267.39,404.14,0.9988,0.0489,2.8,84.51,136.47,3081.0,84.51,30.5,136.47,13.05,0.0955,0.0047,0.9954
148,5.035858472998138,True,266.4,404.15,0.9987,0.0512,2.94,84.27,136.49,3079.0,84.27,30.64,136.49,13.62,0.0996,0.0051,0.995
149,5.069884543761638,True,265.99,404.16,0.9987,0.0515,2.95,84.61,135.49,3058.0,84.61,30.6,135.49,12.73,0.0938,0.0048,0.9956
150,5.10391061452514,True,265.7,404.18,0.9986,0.053,3.04,84.76,135.5,3042.0,84.76,30.67,135.5,12.38,0.0912,0.0048,0.9958
151,5.137936685288641,True,265.7,404.25,0.9985,0.0551,3.16,84.55,135.51,3029.0,84.55,30.82,135.51,12.86,0.0948,0.0052,0.9955
152,5.1719627560521415,True,265.9,404.26,0.9984,0.0557,3.2,84.34,135.51,3015.0,84.34,30.82,135.51,13.37,0.0985,0.0055,0.9951
153,5.205988826815642,True,266.62,404.36,0.9984,0.0565,3.24,84.48,135.52,2979.0,84.48,29.05,135.52,13.05,0.0961,0.0054,0.9954
