frame,t,nx,ny,nz,agree_deg
320,607463.497798,0.43284,-0.76083,-0.48352,1.27
321,607463.501246,0.43259,-0.76565,-0.47608,1.13
322,607463.504758,0.43269,-0.76497,-0.47707,1.12
323,607463.509025,0.43014,-0.76315,-0.48227,1.03
324,607463.512384,0.43006,-0.76678,-0.47654,0.72
325,607463.521626,0.43471,-0.76579,-0.47391,1.19
326,607463.525223,0.42925,-0.76269,-0.48379,0.84
327,607463.52886,0.42892,-0.76698,-0.47724,0.57
328,607463.534191,0.42581,-0.76614,-0.48137,0.31
329,607463.537377,0.42855,-0.76655,-0.47827,0.74
330,607463.540498,0.42542,-0.7642,-0.48479,0.57
331,607463.558514,0.43037,-0.76624,-0.47714,0.2
332,607463.562895,0.42475,-0.76469,-0.4846,0.63
333,607463.564213,0.43018,-0.76671,-0.47655,1.04
334,607463.572595,0.43255,-0.75886,-0.48685,1.03
335,607463.57739,0.42806,-0.76845,-0.47566,0.63
336,607463.580644,0.43081,-0.76154,-0.4842,1.45
337,607463.585162,0.43003,-0.76882,-0.47327,0.9
338,607463.588313,0.42945,-0.76826,-0.4747,0.85
339,607463.597123,0.43174,-0.76624,-0.4759,0.91
340,607463.60193,0.43209,-0.76728,-0.47389,1.11
341,607463.605087,0.43106,-0.76897,-0.47209,1.18
342,607463.609137,0.43283,-0.76217,-0.48141,1.47
343,607463.612445,0.43524,-0.76672,-0.47191,0.93
344,607463.616759,0.43258,-0.76618,-0.47524,0.99
345,607463.624812,0.4291,-0.76748,-0.47629,0.84
346,607463.630328,0.43069,-0.76757,-0.4747,1.19
347,607463.641453,0.43129,-0.76829,-0.47299,0.85
348,607463.64906,0.43078,-0.76771,-0.4744,1.05
349,607463.65314,0.4308,-0.76887,-0.4725,1.16
350,607463.656765,0.43202,-0.76227,-0.48198,1.87
351,607463.660803,0.4307,-0.76833,-0.47345,0.47
352,607463.66454,0.43182,-0.76747,-0.47383,0.92
353,607463.673529,0.43307,-0.76565,-0.47564,1.02
354,607463.677993,0.43266,-0.76073,-0.48383,1.73
355,607463.681439,0.43265,-0.76694,-0.47393,0.73
356,607463.684891,0.43025,-0.76656,-0.47673,0.55
357,607463.689083,0.43658,-0.76394,-0.47519,1.09
358,607463.692848,0.4329,-0.76394,-0.47853,0.95
359,607463.702072,0.43124,-0.76537,-0.47774,0.43
360,607463.704799,0.43162,-0.7648,-0.47832,0.78
361,607463.709462,0.43044,-0.76571,-0.47791,0.59
362,607463.712771,0.4267,-0.76553,-0.48155,0.93
363,607463.716973,0.43082,-0.76553,-0.47787,0.7
364,607463.729347,0.42925,-0.76586,-0.47874,0.73
365,607463.734777,0.43028,-0.76179,-0.48428,1.4
366,607463.737194,0.43435,-0.75972,-0.4839,1.89
367,607463.740425,0.43278,-0.76446,-0.47781,1.07
368,607463.746139,0.4255,-0.76633,-0.48134,0.74
369,607463.754095,0.43238,-0.76416,-0.47865,1.17
370,607463.75707,0.42727,-0.7671,-0.47855,0.78
371,607463.760503,0.43194,-0.76013,-0.48542,1.52
372,607463.765154,0.43433,-0.76121,-0.48157,1.46
373,607463.768793,0.43135,-0.76153,-0.48374,1.38
374,607463.777316,0.43878,-0.76208,-0.47614,0.63
375,607463.781508,0.42978,-0.76461,-0.48027,1.03
376,607463.785893,0.43201,-0.76415,-0.47901,1.18
377,607463.788794,0.43057,-0.76147,-0.48453,1.54
378,607463.792839,0.43521,-0.76183,-0.4798,1.22
379,607463.801145,0.43437,-0.76504,-0.47543,0.97
380,607463.806123,0.4316,-0.76122,-0.484,1.65
381,607463.817848,0.43388,-0.76477,-0.47632,0.77
382,607463.82192,0.43414,-0.75948,-0.48447,0.89
383,607463.830442,0.44316,-0.77655,-0.44786,0.81
384,607463.833033,0.45601,-0.77968,-0.42914,1.54
385,607463.837734,0.46768,-0.77711,-0.42116,0.85
386,607463.841591,0.46378,-0.78359,-0.4134,1.6
387,607463.844306,0.46615,-0.78271,-0.4124,1.26
388,607463.852924,0.4638,-0.78087,-0.4185,0.84
389,607463.857714,0.46121,-0.77895,-0.42487,1.3
390,607463.860934,0.4566,-0.77736,-0.4327,0.48
391,607463.865604,0.44529,-0.77252,-0.45269,1.07
392,607463.868825,0.44039,-0.77321,-0.4563,0.84
393,607463.877485,0.43634,-0.76852,-0.46796,1.63
394,607463.881691,0.4224,-0.76896,-0.47987,0.8
395,607463.885068,0.42406,-0.76904,-0.47829,0.78
396,607463.889593,0.42661,-0.76693,-0.4794,0.66
