frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
156,607462.65256,53.066,69,121.596,22.932,69.806,116.17,65.673,428.93,220.52,91.62,151.71,65.08
157,607462.656734,53.134,68,121.672,22.958,69.745,116.252,65.735,429.0,220.59,91.46,152.06,65.21
158,607462.66065,52.806,68,121.797,22.844,69.951,115.713,65.843,429.13,220.44,91.77,151.38,65.36
159,607462.665128,52.543,73,121.685,22.815,70.153,115.353,65.879,428.98,220.42,92.01,150.79,65.36
160,607462.669565,52.883,69,121.813,22.774,70.155,116.259,65.542,429.18,220.35,92.0,152.08,65.0
161,607462.672589,52.349,66,121.251,22.953,70.059,114.691,65.057,428.45,220.56,91.97,149.93,64.56
162,607462.680951,52.367,68,121.369,22.895,70.14,114.871,65.026,428.68,220.47,92.0,150.18,64.4
163,607462.685382,52.703,69,121.674,22.893,70.043,115.593,65.453,428.9,220.54,91.92,150.73,64.87
164,607462.688407,52.621,70,121.72,22.821,70.167,115.58,65.398,429.03,220.43,92.03,151.07,64.86
165,607462.693541,52.936,67,121.999,22.609,70.156,116.402,65.15,429.42,220.13,91.99,152.26,64.62
166,607462.705853,53.039,69,121.969,22.579,70.054,116.511,65.254,429.27,220.17,91.9,152.02,64.82
167,607462.708623,52.896,67,121.93,22.568,70.106,116.212,65.278,429.31,220.1,91.97,151.77,64.78
168,607462.712573,53.084,66,122.086,22.418,70.082,116.678,65.107,429.54,219.89,91.89,152.61,64.58
169,607462.716922,52.318,70,121.784,22.552,70.276,114.966,65.468,429.11,220.05,92.19,150.4,64.97
170,607462.721001,52.185,69,121.797,22.513,70.305,114.668,65.735,429.12,220.01,92.22,150.02,65.24
171,607462.729429,52.257,71,121.827,22.48,70.382,114.981,65.503,429.15,219.97,92.31,150.28,64.89
172,607462.73246,52.211,70,121.795,22.486,70.394,114.881,65.487,429.16,219.97,92.31,150.27,64.93
173,607462.736574,52.262,71,121.753,22.568,70.395,115.013,65.405,429.04,220.09,92.36,150.37,64.91
174,607462.740536,52.465,71,121.719,22.681,70.183,115.197,65.301,429.04,220.23,92.03,150.63,64.71
175,607462.744707,52.649,71,121.763,22.704,70.128,115.591,65.4,429.18,220.23,91.97,151.0,64.86
176,607462.753814,52.668,70,121.942,22.536,70.307,115.936,65.033,429.35,220.01,92.28,151.61,64.46
177,607462.756855,52.536,70,121.953,22.577,70.291,115.56,65.226,429.39,220.04,92.28,151.03,64.63
178,607462.761234,52.43,72,122.003,22.558,70.37,115.412,65.175,429.42,220.05,92.28,150.84,64.61
179,607462.764415,52.445,72,122.008,22.581,70.355,115.426,65.204,429.44,220.1,92.25,150.98,64.65
180,607462.769211,52.312,70,121.996,22.525,70.474,115.273,65.467,429.44,220.0,92.43,150.7,64.94
181,607462.772783,52.5,73,121.819,22.664,70.348,115.56,65.213,429.19,220.2,92.25,151.15,64.66
182,607462.780815,52.556,73,121.839,22.667,70.25,115.545,65.386,429.19,220.23,92.11,151.07,64.88
183,607462.789872,52.443,75,121.715,22.694,70.291,115.316,65.232,429.08,220.26,92.11,150.78,64.71
184,607462.793966,52.435,76,121.684,22.629,70.342,115.38,65.334,429.03,220.14,92.24,150.87,64.82
185,607462.796956,52.613,74,121.616,22.727,70.162,115.551,65.442,428.9,220.18,92.18,151.48,64.79
186,607462.805697,52.49,74,121.62,22.761,70.202,115.293,65.504,428.9,220.33,92.09,150.83,65.01
187,607462.808616,52.446,72,121.514,22.776,70.207,115.186,65.471,428.82,220.33,92.08,150.73,64.88
188,607462.813264,52.499,74,121.581,22.785,70.185,115.29,65.479,428.88,220.37,92.04,150.8,64.93
189,607462.816544,52.508,73,121.526,22.825,70.136,115.231,65.432,428.78,220.41,91.96,150.69,64.85
190,607462.821505,52.734,71,121.461,22.859,70.074,115.725,65.562,428.68,220.44,91.94,151.52,65.01
191,607462.824687,52.599,75,121.602,22.744,70.225,115.619,65.276,428.85,220.3,92.1,151.24,64.74
192,607462.833334,52.752,73,121.688,22.804,70.007,115.662,65.439,429.07,220.37,91.86,150.95,64.85
193,607462.836757,52.711,75,121.619,22.875,69.99,115.525,65.533,428.92,220.49,91.79,150.99,65.05
194,607462.841384,52.918,70,121.586,22.84,69.983,116.065,65.565,428.88,220.44,91.78,151.81,65.03
195,607462.844831,52.378,72,121.656,22.781,70.171,114.95,65.532,428.92,220.37,92.03,150.23,64.92
196,607462.8487,52.93,71,121.911,22.623,70.12,116.325,65.235,429.23,220.21,91.96,151.81,64.68
