frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
216,605975.436971,54.291,68,-128.636,27.722,75.341,129.084,116.89,147.74,211.11,102.25,174.77,117.47
217,605975.439334,54.838,64,-129.154,27.995,74.408,129.205,117.22,147.13,211.5,101.05,174.86,117.72
218,605975.444119,54.586,65,-128.892,27.728,75.169,129.718,117.015,147.4,211.12,102.01,175.62,117.6
219,605975.452086,54.123,65,-128.652,27.848,75.422,128.696,116.971,147.65,211.27,102.3,174.46,117.53
220,605975.455025,54.595,71,-128.81,28.014,74.958,129.384,116.623,147.49,211.5,101.74,175.07,117.2
221,605975.458982,54.654,68,-128.843,28.028,74.815,129.324,116.677,147.51,211.48,101.71,174.95,117.18
222,605975.463477,54.016,66,-128.647,27.728,75.605,128.676,117.044,147.73,211.07,102.69,174.31,117.62
223,605975.468609,54.687,71,-128.845,27.982,74.815,129.429,116.783,147.46,211.51,101.42,175.27,117.34
224,605975.476454,54.265,66,-128.651,27.941,75.153,128.68,116.865,147.71,211.41,101.98,174.24,117.44
225,605975.478983,54.475,69,-128.771,27.936,75.011,129.092,116.855,147.52,211.41,101.78,174.86,117.38
226,605975.483932,54.598,70,-128.827,27.885,74.956,129.389,116.936,147.47,211.3,101.75,175.35,117.56
227,605975.488579,54.349,67,-128.668,27.83,75.136,128.913,117.129,147.72,211.25,102.06,174.51,117.64
228,605975.49209,54.506,70,-128.67,27.896,74.911,129.02,116.979,147.73,211.31,101.77,174.71,117.54
229,605975.500163,54.362,66,-128.685,27.614,75.237,129.126,117.265,147.68,210.94,102.15,174.95,117.82
230,605975.512024,54.491,67,-128.421,27.767,74.745,128.685,117.082,148.02,211.18,101.43,174.26,117.65
231,605975.515371,54.729,67,-128.628,27.637,74.747,129.444,117.123,147.75,211.0,101.43,175.27,117.7
232,605975.519139,54.554,67,-128.611,27.583,75.014,129.35,117.125,147.77,210.92,101.81,175.14,117.71
233,605975.528597,54.872,66,-128.541,27.855,74.578,129.61,116.843,147.87,211.3,101.21,175.47,117.42
234,605975.531164,54.831,66,-128.537,27.97,74.451,129.256,116.813,147.87,211.51,100.92,174.96,117.4
235,605975.534798,54.746,68,-128.465,28.059,74.484,129.044,116.715,147.97,211.58,101.07,174.73,117.29
236,605975.540594,54.738,67,-128.413,28.031,74.646,129.299,116.563,148.04,211.58,101.19,175.1,117.11
237,605975.544016,54.795,67,-128.432,28.092,74.599,129.401,116.518,148.01,211.62,101.24,175.18,117.09
238,605975.550995,54.803,66,-128.453,28.089,74.634,129.486,116.482,147.92,211.61,101.26,175.18,117.11
239,605975.555195,54.319,66,-128.409,27.89,75.315,129.125,116.588,148.05,211.34,102.22,174.82,117.17
240,605975.559037,54.878,64,-128.48,28.141,74.705,129.849,116.544,147.92,211.68,101.36,175.89,117.12
241,605975.564519,54.053,62,-128.308,27.929,75.534,128.671,116.812,148.18,211.39,102.51,174.24,117.39
242,605975.568343,54.669,67,-128.464,28.154,74.915,129.546,116.669,147.99,211.72,101.64,175.49,117.26
243,605975.575512,54.134,64,-128.414,27.958,75.457,128.791,116.842,148.0,211.43,102.39,174.47,117.39
244,605975.579493,54.494,67,-128.479,28.147,75.006,129.146,116.742,147.99,211.69,101.83,174.88,117.27
245,605975.583788,54.671,68,-128.621,28.146,74.773,129.304,116.762,147.76,211.7,101.46,175.06,117.34
246,605975.596564,54.282,65,-128.619,27.918,75.065,128.58,117.262,147.75,211.38,101.85,174.12,117.84
247,605975.604555,54.583,67,-128.665,28.038,74.619,128.76,117.157,147.65,211.56,101.19,174.36,117.77
248,605975.606888,54.984,64,-128.828,28.044,74.296,129.478,117.163,147.48,211.56,100.81,175.3,117.74
